Date,Open,High,Low,Close,Adj Close,Volume
2013-04-30,1490000.000000,1530000.000000,1488000.000000,1520000.000000,1421516.500000,374100
2013-05-02,1520000.000000,1532000.000000,1517000.000000,1528000.000000,1428998.000000,200979
2013-05-03,1535000.000000,1537000.000000,1521000.000000,1535000.000000,1435544.625000,131181
2013-05-06,1540000.000000,1540000.000000,1512000.000000,1514000.000000,1415905.375000,173086
2013-05-07,1508000.000000,1508000.000000,1491000.000000,1493000.000000,1396265.750000,228690
2013-05-08,1493000.000000,1498000.000000,1479000.000000,1488000.000000,1391589.875000,298439
2013-05-09,1490000.000000,1520000.000000,1489000.000000,1515000.000000,1416840.500000,216123
2013-05-10,1514000.000000,1514000.000000,1476000.000000,1476000.000000,1380367.250000,235897
2013-05-13,1471000.000000,1480000.000000,1462000.000000,1477000.000000,1381302.500000,175002
2013-05-14,1487000.000000,1500000.000000,1483000.000000,1500000.000000,1402812.125000,180053
2013-05-15,1485000.000000,1500000.000000,1484000.000000,1500000.000000,1402812.125000,211896
2013-05-16,1501000.000000,1514000.000000,1500000.000000,1508000.000000,1410294.125000,293151
2013-05-20,1508000.000000,1512000.000000,1496000.000000,1497000.000000,1400006.875000,245777
2013-05-21,1510000.000000,1510000.000000,1485000.000000,1492000.000000,1395330.500000,232008
2013-05-22,1504000.000000,1510000.000000,1491000.000000,1509000.000000,1411229.125000,198462
2013-05-23,1492000.000000,1502000.000000,1484000.000000,1484000.000000,1387849.000000,239883
2013-05-24,1487000.000000,1494000.000000,1472000.000000,1486000.000000,1389719.500000,203812
2013-05-27,1490000.000000,1499000.000000,1487000.000000,1489000.000000,1392524.875000,122928
2013-05-28,1481000.000000,1496000.000000,1481000.000000,1484000.000000,1387849.000000,231761
2013-05-29,1484000.000000,1523000.000000,1483000.000000,1512000.000000,1414034.625000,295211
2013-05-30,1518000.000000,1549000.000000,1512000.000000,1544000.000000,1443961.500000,455560
2013-05-31,1546000.000000,1559000.000000,1537000.000000,1538000.000000,1438350.125000,360501
2013-06-03,1536000.000000,1559000.000000,1528000.000000,1532000.000000,1432739.125000,206189
2013-06-04,1533000.000000,1542000.000000,1521000.000000,1540000.000000,1440220.500000,169932
2013-06-05,1549000.000000,1553000.000000,1521000.000000,1521000.000000,1422451.750000,271813
2013-06-07,1521000.000000,1521000.000000,1424000.000000,1427000.000000,1334542.000000,1085816
2013-06-10,1420000.000000,1443000.000000,1414000.000000,1425000.000000,1332671.625000,533554
2013-06-11,1411000.000000,1419000.000000,1378000.000000,1389000.000000,1299004.250000,692260
2013-06-12,1378000.000000,1403000.000000,1362000.000000,1385000.000000,1295263.375000,457753
2013-06-13,1380000.000000,1397000.000000,1357000.000000,1357000.000000,1269077.500000,670197
2013-06-14,1365000.000000,1377000.000000,1357000.000000,1369000.000000,1280300.000000,351167
2013-06-17,1370000.000000,1378000.000000,1365000.000000,1366000.000000,1277494.250000,235169
2013-06-18,1368000.000000,1387000.000000,1360000.000000,1387000.000000,1297133.875000,220861
2013-06-19,1382000.000000,1385000.000000,1364000.000000,1369000.000000,1280300.000000,205405
2013-06-20,1343000.000000,1348000.000000,1326000.000000,1329000.000000,1242891.625000,356359
2013-06-21,1294000.000000,1333000.000000,1290000.000000,1325000.000000,1239150.750000,553556
2013-06-24,1350000.000000,1350000.000000,1313000.000000,1313000.000000,1227928.375000,316958
2013-06-25,1301000.000000,1318000.000000,1288000.000000,1297000.000000,1212965.000000,415499
2013-06-26,1301000.000000,1305000.000000,1245000.000000,1261000.000000,1179297.375000,635024
2013-06-27,1295000.000000,1344000.000000,1286000.000000,1339000.000000,1252740.375000,515123
2013-06-28,1350000.000000,1350000.000000,1329000.000000,1342000.000000,1255547.125000,419225
2013-07-01,1334000.000000,1346000.000000,1322000.000000,1326000.000000,1240577.875000,256519
2013-07-02,1340000.000000,1352000.000000,1330000.000000,1335000.000000,1248998.000000,204289
2013-07-03,1334000.000000,1339000.000000,1295000.000000,1301000.000000,1217188.500000,256441
2013-07-04,1302000.000000,1317000.000000,1296000.000000,1317000.000000,1232157.500000,180853
2013-07-05,1286000.000000,1315000.000000,1260000.000000,1267000.000000,1185378.875000,607656
2013-07-08,1250000.000000,1258000.000000,1209000.000000,1226000.000000,1147019.875000,529603
2013-07-09,1230000.000000,1250000.000000,1229000.000000,1237000.000000,1157311.500000,393899
2013-07-10,1245000.000000,1252000.000000,1237000.000000,1248000.000000,1167602.500000,346113
2013-07-11,1251000.000000,1312000.000000,1251000.000000,1312000.000000,1227479.750000,415767
2013-07-12,1320000.000000,1324000.000000,1301000.000000,1312000.000000,1227479.750000,227826
2013-07-15,1315000.000000,1319000.000000,1285000.000000,1313000.000000,1228415.375000,192592
2013-07-16,1318000.000000,1321000.000000,1290000.000000,1298000.000000,1214381.750000,186019
2013-07-17,1301000.000000,1330000.000000,1286000.000000,1320000.000000,1234964.375000,246046
2013-07-18,1325000.000000,1325000.000000,1292000.000000,1292000.000000,1208768.125000,314084
2013-07-19,1288000.000000,1295000.000000,1264000.000000,1273000.000000,1190992.250000,325426
2013-07-22,1280000.000000,1289000.000000,1265000.000000,1273000.000000,1190992.250000,207023
2013-07-23,1273000.000000,1307000.000000,1272000.000000,1307000.000000,1222801.875000,238978
2013-07-24,1307000.000000,1317000.000000,1295000.000000,1315000.000000,1230286.500000,175453
2013-07-25,1317000.000000,1322000.000000,1308000.000000,1315000.000000,1230286.500000,169913
2013-07-26,1314000.000000,1319000.000000,1299000.000000,1303000.000000,1219059.750000,272391
2013-07-29,1291000.000000,1300000.000000,1279000.000000,1283000.000000,1200348.125000,236437
2013-07-30,1277000.000000,1295000.000000,1277000.000000,1290000.000000,1206897.125000,188507
2013-07-31,1280000.000000,1290000.000000,1279000.000000,1280000.000000,1197541.250000,254710
2013-08-01,1285000.000000,1288000.000000,1274000.000000,1280000.000000,1197541.250000,181178
2013-08-02,1293000.000000,1300000.000000,1282000.000000,1286000.000000,1203154.875000,224827
2013-08-05,1283000.000000,1283000.000000,1274000.000000,1274000.000000,1191928.000000,161597
2013-08-06,1245000.000000,1272000.000000,1245000.000000,1254000.000000,1173216.375000,289874
2013-08-07,1237000.000000,1240000.000000,1222000.000000,1222000.000000,1143277.625000,315562
2013-08-08,1213000.000000,1235000.000000,1213000.000000,1217000.000000,1138599.750000,358216
2013-08-09,1229000.000000,1241000.000000,1220000.000000,1230000.000000,1150762.250000,241604
2013-08-12,1230000.000000,1248000.000000,1225000.000000,1232000.000000,1152633.500000,202812
2013-08-13,1244000.000000,1290000.000000,1242000.000000,1290000.000000,1206897.125000,418589
2013-08-14,1289000.000000,1300000.000000,1285000.000000,1300000.000000,1216252.875000,260102
2013-08-16,1300000.000000,1301000.000000,1282000.000000,1295000.000000,1211575.125000,228332
2013-08-19,1286000.000000,1296000.000000,1280000.000000,1286000.000000,1203154.875000,129997
2013-08-20,1296000.000000,1305000.000000,1269000.000000,1269000.000000,1187249.875000,284619
2013-08-21,1265000.000000,1282000.000000,1256000.000000,1256000.000000,1175087.500000,246921
2013-08-22,1250000.000000,1267000.000000,1245000.000000,1255000.000000,1174151.625000,239697
2013-08-23,1280000.000000,1300000.000000,1271000.000000,1295000.000000,1211575.125000,344068
2013-08-26,1301000.000000,1305000.000000,1296000.000000,1300000.000000,1216252.875000,230393
2013-08-27,1307000.000000,1309000.000000,1295000.000000,1304000.000000,1219995.125000,182616
2013-08-28,1284000.000000,1310000.000000,1284000.000000,1309000.000000,1224673.000000,189851
2013-08-29,1317000.000000,1348000.000000,1314000.000000,1344000.000000,1257418.250000,326300
2013-08-30,1360000.000000,1368000.000000,1351000.000000,1368000.000000,1279872.250000,342716
2013-09-02,1368000.000000,1371000.000000,1350000.000000,1351000.000000,1263967.375000,201632
2013-09-03,1364000.000000,1364000.000000,1326000.000000,1337000.000000,1250869.125000,235970
2013-09-04,1330000.000000,1354000.000000,1321000.000000,1340000.000000,1253676.125000,218401
2013-09-05,1370000.000000,1371000.000000,1358000.000000,1365000.000000,1277065.750000,302002
2013-09-06,1370000.000000,1375000.000000,1358000.000000,1369000.000000,1280807.875000,238759
2013-09-09,1371000.000000,1375000.000000,1363000.000000,1373000.000000,1284550.125000,185831
2013-09-10,1369000.000000,1396000.000000,1368000.000000,1396000.000000,1306068.625000,294353
2013-09-11,1398000.000000,1402000.000000,1385000.000000,1402000.000000,1311681.875000,267060
2013-09-12,1405000.000000,1424000.000000,1395000.000000,1410000.000000,1319166.500000,436108
2013-09-13,1409000.000000,1410000.000000,1396000.000000,1406000.000000,1315424.375000,245630
2013-09-16,1423000.000000,1425000.000000,1411000.000000,1425000.000000,1333200.250000,234214
2013-09-17,1420000.000000,1420000.000000,1381000.000000,1386000.000000,1296712.750000,343627
2013-09-23,1386000.000000,1386000.000000,1353000.000000,1360000.000000,1272387.625000,487258
2013-09-24,1342000.000000,1379000.000000,1338000.000000,1373000.000000,1284550.125000,302778
2013-09-25,1367000.000000,1374000.000000,1351000.000000,1364000.000000,1276130.000000,223529
2013-09-26,1364000.000000,1372000.000000,1356000.000000,1372000.000000,1283614.500000,207494
2013-09-27,1375000.000000,1377000.000000,1363000.000000,1366000.000000,1278001.125000,232265
2013-09-30,1366000.000000,1382000.000000,1360000.000000,1367000.000000,1278936.625000,233018
2013-10-01,1380000.000000,1383000.000000,1360000.000000,1382000.000000,1292970.250000,195463
2013-10-02,1398000.000000,1425000.000000,1390000.000000,1418000.000000,1326651.125000,351727
2013-10-04,1418000.000000,1442000.000000,1414000.000000,1418000.000000,1326651.125000,315074
2013-10-07,1437000.000000,1437000.000000,1425000.000000,1436000.000000,1343491.625000,204565
2013-10-08,1417000.000000,1433000.000000,1417000.000000,1430000.000000,1337878.125000,210920
2013-10-10,1430000.000000,1432000.000000,1421000.000000,1430000.000000,1337878.125000,276380
2013-10-11,1440000.000000,1447000.000000,1436000.000000,1443000.000000,1350040.750000,225083
2013-10-14,1448000.000000,1449000.000000,1438000.000000,1438000.000000,1345362.625000,147474
2013-10-15,1450000.000000,1457000.000000,1445000.000000,1457000.000000,1363138.750000,200473
2013-10-16,1469000.000000,1469000.000000,1445000.000000,1450000.000000,1356589.750000,160212
2013-10-17,1460000.000000,1468000.000000,1454000.000000,1463000.000000,1368752.250000,181987
2013-10-18,1472000.000000,1475000.000000,1463000.000000,1472000.000000,1377172.625000,157043
2013-10-21,1475000.000000,1489000.000000,1454000.000000,1464000.000000,1369688.125000,142521
2013-10-22,1460000.000000,1460000.000000,1434000.000000,1455000.000000,1361267.750000,247065
2013-10-23,1464000.000000,1464000.000000,1436000.000000,1442000.000000,1349105.125000,171969
2013-10-24,1431000.000000,1449000.000000,1429000.000000,1449000.000000,1355654.250000,178313
2013-10-25,1450000.000000,1452000.000000,1433000.000000,1449000.000000,1355654.250000,134706
2013-10-28,1465000.000000,1485000.000000,1458000.000000,1482000.000000,1386528.500000,226154
2013-10-29,1490000.000000,1490000.000000,1478000.000000,1490000.000000,1394012.750000,206698
2013-10-30,1485000.000000,1500000.000000,1484000.000000,1500000.000000,1403368.625000,211768
2013-10-31,1498000.000000,1502000.000000,1465000.000000,1465000.000000,1370623.375000,252941
2013-11-01,1490000.000000,1500000.000000,1468000.000000,1500000.000000,1403368.625000,227154
2013-11-04,1492000.000000,1502000.000000,1489000.000000,1499000.000000,1402433.000000,217756
2013-11-05,1502000.000000,1502000.000000,1472000.000000,1485000.000000,1389334.875000,160186
2013-11-06,1498000.000000,1498000.000000,1449000.000000,1451000.000000,1357525.250000,244368
2013-11-07,1451000.000000,1454000.000000,1425000.000000,1437000.000000,1344427.125000,260136
2013-11-08,1411000.000000,1428000.000000,1407000.000000,1410000.000000,1319166.500000,273627
2013-11-11,1425000.000000,1434000.000000,1409000.000000,1428000.000000,1336007.000000,171277
2013-11-12,1440000.000000,1466000.000000,1436000.000000,1456000.000000,1362203.000000,195698
2013-11-13,1445000.000000,1449000.000000,1419000.000000,1419000.000000,1327586.625000,199904
2013-11-14,1455000.000000,1455000.000000,1424000.000000,1424000.000000,1332264.500000,202643
2013-11-15,1434000.000000,1462000.000000,1432000.000000,1462000.000000,1367816.750000,166785
2013-11-18,1470000.000000,1476000.000000,1465000.000000,1474000.000000,1379043.750000,127736
2013-11-19,1483000.000000,1489000.000000,1477000.000000,1489000.000000,1393077.250000,163671
2013-11-20,1473000.000000,1487000.000000,1464000.000000,1470000.000000,1375301.250000,163563
2013-11-21,1472000.000000,1472000.000000,1432000.000000,1440000.000000,1347233.875000,180396
2013-11-22,1441000.000000,1456000.000000,1431000.000000,1450000.000000,1356589.750000,171492
2013-11-25,1451000.000000,1472000.000000,1451000.000000,1465000.000000,1370623.375000,132306
2013-11-26,1458000.000000,1479000.000000,1455000.000000,1479000.000000,1383721.625000,171725
